lon,lat
-97.2290,49.0007
-96.9310,49.0000
-96.4054,49.0000
-95.9754,49.0000
-95.3410,48.9987
-95.3199,48.9988
-95.1537,48.9989
-95.1533,49.1849
-95.1533,49.3093
-95.1533,49.3844
-95.0584,49.3532
-94.9889,49.3689
-94.9521,49.3687
-94.8785,49.3332
-94.8162,49.3210
-94.7972,49.2143
-94.7742,49.1250
-94.7502,49.0998
-94.7189,49.0000
-94.6831,48.8839
-94.6857,48.8401
-94.6943,48.7894
-94.6190,48.7374
-94.5089,48.7004
-94.4466,48.6929
-94.4302,48.6983
-94.3888,48.7119
-94.2818,48.7053
-94.2512,48.6835
-94.2502,48.6563
-94.0912,48.6437
-93.9270,48.6312
-93.8440,48.6294
-93.8053,48.5703
-93.8152,48.5265
-93.6746,48.5163
-93.5621,48.5289
-93.4675,48.5457
-93.4643,48.5918
-93.3712,48.6051
-93.3475,48.6266
-93.2074,48.6425
-93.1424,48.6249
-93.0885,48.6268
-92.9549,48.6315
-92.8947,48.5949
-92.7280,48.5393
-92.6349,48.5429
-92.6311,48.5083
-92.6571,48.4669
-92.5756,48.4408
-92.5149,48.4483
-92.4563,48.4142
-92.4699,48.3518
-92.4163,48.2955
-92.3692,48.2203
-92.3147,48.2405
-92.2957,48.2781
-92.2954,48.3240
-92.2623,48.3549
-92.1622,48.3633
-92.0552,48.3592
-92.0001,48.3214
-91.9808,48.2478
-91.8935,48.2377
-91.7973,48.2058
-91.7812,48.2004
-91.7149,48.1991
-91.6924,48.1193
-91.5593,48.1083
-91.5425,48.0533
-91.4655,48.0668
-91.3366,48.0696
-91.2501,48.0841
-91.1561,48.1405
-91.0356,48.1895
-91.0327,48.1905
-90.9068,48.2373
-90.8436,48.2436
-90.8042,48.1778
-90.7760,48.1222
-90.7037,48.0960
-90.5661,48.1226
-90.4710,48.1061
-90.3172,48.1038
-90.1362,48.1121
-90.0296,48.0876
-89.9734,48.0204
-89.8682,47.9899
-89.7493,48.0233
-89.6251,48.0115
-89.4892,48.0145
-89.5550,47.9748
-89.6606,47.9512
-89.7375,47.9182
-89.7935,47.8914
-89.9236,47.8621
-89.9743,47.8305
-90.0720,47.8111
-90.1876,47.7781
-90.3234,47.7538
-90.4214,47.7351
-90.5371,47.7031
-90.6478,47.6562
-90.7359,47.6243
-90.8683,47.5569
-91.0231,47.4650
-91.1470,47.3815
-91.2625,47.2793
-91.3870,47.1873
-91.4570,47.1392
-91.5738,47.0899
-91.6446,47.0265
-91.7371,46.9829
-91.7944,46.9425
-91.8069,46.9337
-91.9065,46.8912
-92.0134,46.8337
-92.0621,46.8040
-92.0153,46.7065
-92.0508,46.7105
-92.1003,46.7344
-92.1433,46.7316
-92.1831,46.6952
-92.2055,46.6647
-92.2922,46.6632
-92.2924,46.4956
-92.2928,46.4172
-92.2936,46.2440
-92.2938,46.1573
-92.2940,46.0744
-92.3382,46.0521
-92.3518,46.0157
-92.3927,46.0195
-92.4496,46.0023
-92.4728,45.9730
-92.5457,45.9701
-92.5806,45.9462
-92.6561,45.9244
-92.7211,45.8838
-92.7595,45.8353
-92.7765,45.7900
-92.8260,45.7366
-92.8407,45.7294
-92.8697,45.7151
-92.8867,45.6441
-92.8879,45.6390
-92.8811,45.5734
-92.8015,45.5629
-92.7569,45.5575
-92.7280,45.5257
-92.6868,45.4723
-92.6468,45.4379
-92.6585,45.3961
-92.6990,45.3364
-92.7483,45.2961
-92.7619,45.2849
-92.7661,45.2100
-92.7669,45.1951
-92.7405,45.1134
-92.7897,45.0756
-92.8029,45.0654
-92.7619,45.0225
-92.7508,44.9416
-92.7670,44.8620
-92.7671,44.8615
-92.7686,44.8544
-92.8053,44.7684
-92.7924,44.7590
-92.7316,44.7149
-92.6965,44.6894
-92.6180,44.6129
-92.5493,44.5777
-92.3993,44.5583
-92.3615,44.5589
-92.3169,44.5393
-92.3141,44.5380
-92.2910,44.4855
-92.2454,44.4543
-92.2325,44.4454
-92.1111,44.4139
-92.0845,44.4046
-91.9636,44.3621
-91.9162,44.3181
-91.8927,44.2311
-91.8545,44.1972
-91.8173,44.1642
-91.7191,44.1289
-91.6479,44.0641
-91.5733,44.0269
-91.5592,44.0242
-91.4405,44.0015
-91.4236,43.9843
-91.3574,43.9172
-91.2910,43.8527
-91.2877,43.8471
-91.2440,43.7730
-91.2570,43.7257
-91.2733,43.6666
-91.2529,43.6004
-91.2328,43.5648
-91.2177,43.5005
-91.4910,43.5007
-91.6108,43.5007
-91.7302,43.5007
-91.8248,43.5007
-92.0798,43.5007
-92.1789,43.5007
-92.4489,43.5004
-92.5531,43.5003
-92.5532,43.5003
-92.8703,43.4995
-93.0243,43.4996
-93.0492,43.4996
-93.2289,43.4996
-93.4974,43.4995
-93.5767,43.4995
-93.6485,43.4995
-93.9708,43.4996
-94.2480,43.5002
-94.3906,43.5005
-94.4428,43.5005
-94.8546,43.5006
-94.8742,43.5006
-94.9146,43.5006
-95.2149,43.5009
-95.3878,43.5005
-95.4544,43.5003
-95.4868,43.5002
-95.8344,43.5000
-95.8609,43.5000
-96.0532,43.5002
-96.1985,43.5003
-96.4533,43.5004
-96.4533,43.5523
-96.4529,43.8495
-96.4529,43.8495
-96.4524,44.1968
-96.4524,44.1968
-96.4522,44.3601
-96.4533,44.5436
-96.4538,44.6313
-96.4548,44.8056
-96.4558,44.9773
-96.4576,45.2689
-96.4578,45.3076
-96.4701,45.3268
-96.4826,45.3463
-96.5218,45.3756
-96.5621,45.3861
-96.6177,45.4081
-96.6754,45.4102
-96.7108,45.4369
-96.7425,45.4787
-96.7810,45.5360
-96.8354,45.5861
-96.8440,45.5940
-96.8516,45.6194
-96.8262,45.6542
-96.7451,45.7016
-96.6727,45.7323
-96.6305,45.7812
-96.5871,45.8164
-96.5719,45.8718
-96.5637,45.9352
-96.5743,46.0165
-96.5727,46.0219
-96.5545,46.0840
-96.5957,46.2199
-96.6010,46.3196
-96.6473,46.3585
-96.7091,46.4353
-96.7444,46.5660
-96.7858,46.6296
-96.7898,46.6357
-96.7905,46.6369
-96.7868,46.6928
-96.7888,46.7776
-96.7640,46.9125
-96.8335,47.0101
-96.8191,47.0812
-96.8266,47.1505
-96.8360,47.2380
-96.8402,47.2770
-96.8575,47.4405
-96.8560,47.4992
-96.8541,47.5720
-96.8824,47.6490
-96.8935,47.6721
-96.9285,47.7449
-96.9964,47.8444
-97.0374,47.9333
-97.0690,48.0263
-97.1056,48.0914
-97.1467,48.1686
-97.1458,48.1732
-97.1419,48.1937
-97.1295,48.2578
-97.1379,48.3446
-97.1392,48.4305
-97.1491,48.5323
-97.1481,48.5407
-97.1477,48.5439
-97.1429,48.5837
-97.1000,48.6679
-97.1213,48.7136
-97.1526,48.7726
-97.1874,48.8676
-97.2279,48.9459
-97.2290,49.0007
